Gmt time,Ask,Bid,AskVolume,BidVolume
07.04.2023 07:21:48.545,13052.331000000002,13049.027,0.0004,0.0004
07.04.2023 07:21:48.596,13052.311000000002,13048.839,0.0004,0.0004
07.04.2023 07:21:48.705,13052.323,13049.069,0.0004,0.0004
07.04.2023 07:21:48.755,13052.311000000002,13049.028999999999,0.0004,0.0004
07.04.2023 07:21:52.583,13052.543000000001,13049.399,0.0004,0.0004
07.04.2023 07:21:52.634,13052.691,13049.169,0.0004,0.0004
07.04.2023 07:21:55.387,13052.593,13049.579,0.0004,0.0004
07.04.2023 07:21:55.437,13053.071000000002,13049.528999999999,0.0004,0.0004
07.04.2023 07:21:56.495,13052.813,13049.899,0.0004,0.0004
07.04.2023 07:21:56.546,13053.171000000002,13049.719,0.0004,0.0004
07.04.2023 07:21:56.650,13052.741000000002,13049.259,0.0004,0.0012
07.04.2023 07:21:56.701,13052.761,13049.278999999999,0.0004,0.0004
07.04.2023 07:22:04.052,13052.981000000002,13049.538999999999,0.0004,0.0004
07.04.2023 07:22:11.469,13052.983,13049.698999999999,0.0004,0.0004
07.04.2023 07:22:11.519,13053.091,13049.669,0.0004,0.0004
07.04.2023 07:22:11.630,13053.163,13049.739,0.0004,0.0004
07.04.2023 07:22:11.681,13053.231000000002,13049.749,0.0004,0.0004
07.04.2023 07:22:14.592,13052.851,13049.339,0.0004,0.0012
07.04.2023 07:22:14.643,13052.791000000001,13049.368999999999,0.0004,0.0004
07.04.2023 07:22:16.771,13052.843,13049.548999999999,0.0004,0.0004
07.04.2023 07:22:16.822,13053.091,13049.509,0.0004,0.0004
07.04.2023 07:22:28.792,13053.063,13049.659,0.0004,0.0004
07.04.2023 07:22:28.843,13053.091,13049.679,0.0004,0.0004
07.04.2023 07:22:37.950,13053.173,13049.809,0.0004,0.0004
07.04.2023 07:22:38.001,13053.361,13049.809,0.0004,0.0004
07.04.2023 07:22:42.740,13053.261,13049.877,0.0004,0.0004
07.04.2023 07:22:42.791,13053.201000000001,13049.819,0.0004,0.0004
07.04.2023 07:22:52.070,13053.091,13049.767,0.0004,0.0004
07.04.2023 07:22:52.120,13053.061000000002,13049.519,0.0004,0.0004
07.04.2023 07:22:58.266,13052.871000000001,13049.389,0.0004,0.0012
07.04.2023 07:22:58.317,13052.871000000001,13049.319,0.0004,0.0004
07.04.2023 07:22:59.153,13052.863000000001,13049.569,0.0004,0.0004
07.04.2023 07:22:59.204,13053.041000000001,13049.579,0.0004,0.0004
07.04.2023 07:22:59.748,13053.073,13049.719,0.0004,0.0004
07.04.2023 07:22:59.798,13052.901000000002,13049.649,0.0004,0.0004
07.04.2023 07:23:00.605,13053.071000000002,13049.798999999999,0.0004,0.0012
07.04.2023 07:23:00.655,13053.091,13049.599,0.0004,0.0004
07.04.2023 07:23:02.015,13052.791000000001,13049.537,0.0004,0.0004
07.04.2023 07:23:02.065,13052.791000000001,13049.378999999999,0.0004,0.0004
07.04.2023 07:23:03.288,13052.501000000002,13049.069,0.0004,0.0012
07.04.2023 07:23:03.339,13052.501000000002,13049.028999999999,0.0004,0.0004
07.04.2023 07:23:04.633,13052.513,13049.128999999999,0.0004,0.0004
07.04.2023 07:23:04.684,13052.621000000001,13049.169,0.0004,0.0004
07.04.2023 07:23:04.788,13052.663,13049.319,0.0004,0.0004
07.04.2023 07:23:04.839,13052.881000000001,13049.319,0.0004,0.0004
07.04.2023 07:23:05.649,13052.691,13049.417,0.0004,0.0004
07.04.2023 07:23:05.699,13052.501000000002,13049.229,0.0004,0.0004
07.04.2023 07:23:06.715,13052.733,13049.368999999999,0.0004,0.0004
07.04.2023 07:23:06.766,13052.871000000001,13049.378999999999,0.0004,0.0004
07.04.2023 07:23:07.087,13052.711000000001,13049.347,0.0004,0.0004
07.04.2023 07:23:07.138,13052.781,13049.259,0.0004,0.0004
07.04.2023 07:23:07.245,13052.733,13049.339,0.0004,0.0004
07.04.2023 07:23:07.296,13052.851,13049.319,0.0004,0.0004
07.04.2023 07:23:07.756,13052.813,13049.599,0.0004,0.0004
07.04.2023 07:23:07.807,13053.061000000002,13049.519,0.0004,0.0004
07.04.2023 07:23:23.974,13053.211000000001,13049.788999999999,0.0004,0.0004
07.04.2023 07:23:41.432,13052.591,13049.089,0.0004,0.0012
07.04.2023 07:23:41.482,13052.531,13049.038999999999,0.0004,0.0004
07.04.2023 07:23:52.406,13052.593,13049.798999999999,0.0004,0.0004
07.04.2023 07:23:52.456,13052.991000000002,13049.569,0.0004,0.0004
07.04.2023 07:23:55.031,13053.013,13049.628999999999,0.0004,0.0004
07.04.2023 07:23:55.082,13053.131000000001,13049.669,0.0004,0.0004
07.04.2023 07:23:55.190,13053.103000000001,13049.798999999999,0.0004,0.0004
07.04.2023 07:23:55.240,13053.211000000001,13049.819,0.0004,0.0004
07.04.2023 07:23:56.996,13053.263,13049.849,0.0004,0.0004
