Symbol, Date, Open, High, Low, Close, Volume
MCD, 2021-10-27T17:20:00.000Z, 0.8112, 0.8113, 0.8111, 0.8111, -1
MCD, 2021-10-27T17:21:00.000Z, 0.8111, 0.8111, 0.8109, 0.81105, -1
MCD, 2021-10-27T17:22:00.000Z, 0.81105, 0.81105, 0.8107, 0.8107, -1
MCD, 2021-10-27T17:23:00.000Z, 0.8107, 0.81075, 0.8105, 0.8106, -1
MCD, 2021-10-27T17:24:00.000Z, 0.8106, 0.8107, 0.8106, 0.8107, -1
MCD, 2021-10-27T17:25:00.000Z, 0.8107, 0.8107, 0.81065, 0.8107, -1
MCD, 2021-10-27T17:26:00.000Z, 0.8107, 0.8107, 0.8106, 0.81065, -1
MCD, 2021-10-27T17:27:00.000Z, 0.81065, 0.81095, 0.81065, 0.81085, -1
MCD, 2021-10-27T17:28:00.000Z, 0.81085, 0.81085, 0.8106, 0.8106, -1
MCD, 2021-10-27T17:29:00.000Z, 0.8106, 0.81065, 0.81055, 0.81055, -1
MCD, 2021-10-27T17:30:00.000Z, 0.81055, 0.8107, 0.81055, 0.81065, -1
MCD, 2021-10-27T17:31:00.000Z, 0.81065, 0.8107, 0.81065, 0.81065, -1
MCD, 2021-10-27T17:32:00.000Z, 0.81065, 0.8107, 0.81065, 0.8107, -1
MCD, 2021-10-27T17:33:00.000Z, 0.8107, 0.8107, 0.8106, 0.8106, -1
MCD, 2021-10-27T17:34:00.000Z, 0.8106, 0.81065, 0.81035, 0.8104, -1
MCD, 2021-10-27T17:35:00.000Z, 0.8104, 0.81045, 0.8103, 0.81045, -1
MCD, 2021-10-27T17:36:00.000Z, 0.81045, 0.81045, 0.8103, 0.81035, -1
MCD, 2021-10-27T17:37:00.000Z, 0.81035, 0.81035, 0.81, 0.81, -1
MCD, 2021-10-27T17:38:00.000Z, 0.81, 0.81025, 0.81, 0.8102, -1
MCD, 2021-10-27T17:39:00.000Z, 0.8102, 0.81035, 0.8102, 0.81035, -1
MCD, 2021-10-27T17:40:00.000Z, 0.81035, 0.81035, 0.8103, 0.81035, -1
MCD, 2021-10-27T17:41:00.000Z, 0.81035, 0.81035, 0.81025, 0.8103, -1
MCD, 2021-10-27T17:42:00.000Z, 0.8103, 0.8104, 0.8103, 0.8103, -1
MCD, 2021-10-27T17:43:00.000Z, 0.8103, 0.8104, 0.8103, 0.8104, -1
