Gmt time,Open,High,Low,Close,Volume
16.04.2021 22:00:00.000,0.91972,0.91972,0.91972,0.91972,0
16.04.2021 23:00:00.000,0.91972,0.91972,0.91972,0.91972,0
17.04.2021 00:00:00.000,0.91972,0.91972,0.91972,0.91972,0
17.04.2021 01:00:00.000,0.91972,0.91972,0.91972,0.91972,0
17.04.2021 02:00:00.000,0.91972,0.91972,0.91972,0.91972,0
17.04.2021 03:00:00.000,0.91972,0.91972,0.91972,0.91972,0
17.04.2021 04:00:00.000,0.91972,0.91972,0.91972,0.91972,0
17.04.2021 05:00:00.000,0.91972,0.91972,0.91972,0.91972,0
17.04.2021 06:00:00.000,0.91972,0.91972,0.91972,0.91972,0
17.04.2021 07:00:00.000,0.91972,0.91972,0.91972,0.91972,0
17.04.2021 08:00:00.000,0.91972,0.91972,0.91972,0.91972,0
17.04.2021 09:00:00.000,0.91972,0.91972,0.91972,0.91972,0
17.04.2021 10:00:00.000,0.91972,0.91972,0.91972,0.91972,0
17.04.2021 11:00:00.000,0.91972,0.91972,0.91972,0.91972,0
17.04.2021 12:00:00.000,0.91972,0.91972,0.91972,0.91972,0
17.04.2021 13:00:00.000,0.91972,0.91972,0.91972,0.91972,0
17.04.2021 14:00:00.000,0.91972,0.91972,0.91972,0.91972,0
17.04.2021 15:00:00.000,0.91972,0.91972,0.91972,0.91972,0
17.04.2021 16:00:00.000,0.91972,0.91972,0.91972,0.91972,0
17.04.2021 17:00:00.000,0.91972,0.91972,0.91972,0.91972,0
17.04.2021 18:00:00.000,0.91972,0.91972,0.91972,0.91972,0
17.04.2021 19:00:00.000,0.91972,0.91972,0.91972,0.91972,0
17.04.2021 20:00:00.000,0.91972,0.91972,0.91972,0.91972,0
17.04.2021 21:00:00.000,0.91972,0.91972,0.91972,0.91972,0
17.04.2021 22:00:00.000,0.91972,0.91972,0.91972,0.91972,0
17.04.2021 23:00:00.000,0.91972,0.91972,0.91972,0.91972,0
18.04.2021 00:00:00.000,0.91972,0.91972,0.91972,0.91972,0
18.04.2021 01:00:00.000,0.91972,0.91972,0.91972,0.91972,0
18.04.2021 02:00:00.000,0.91972,0.91972,0.91972,0.91972,0
18.04.2021 03:00:00.000,0.91972,0.91972,0.91972,0.91972,0
18.04.2021 04:00:00.000,0.91972,0.91972,0.91972,0.91972,0
18.04.2021 05:00:00.000,0.91972,0.91972,0.91972,0.91972,0
18.04.2021 06:00:00.000,0.91972,0.91972,0.91972,0.91972,0
18.04.2021 07:00:00.000,0.91972,0.91972,0.91972,0.91972,0
18.04.2021 08:00:00.000,0.91972,0.91972,0.91972,0.91972,0
18.04.2021 09:00:00.000,0.91972,0.91972,0.91972,0.91972,0
18.04.2021 10:00:00.000,0.91972,0.91972,0.91972,0.91972,0
18.04.2021 11:00:00.000,0.91972,0.91972,0.91972,0.91972,0
18.04.2021 12:00:00.000,0.91972,0.91972,0.91972,0.91972,0
18.04.2021 13:00:00.000,0.91972,0.91972,0.91972,0.91972,0
18.04.2021 14:00:00.000,0.91972,0.91972,0.91972,0.91972,0
18.04.2021 15:00:00.000,0.91972,0.91972,0.91972,0.91972,0
18.04.2021 16:00:00.000,0.91972,0.91972,0.91972,0.91972,0
18.04.2021 17:00:00.000,0.91972,0.91972,0.91972,0.91972,0
18.04.2021 18:00:00.000,0.91972,0.91972,0.91972,0.91972,0
18.04.2021 19:00:00.000,0.91972,0.91972,0.91972,0.91972,0
18.04.2021 20:00:00.000,0.91972,0.91972,0.91972,0.91972,0
18.04.2021 21:00:00.000,0.91917,0.91948,0.91881,0.91930,99.92
18.04.2021 22:00:00.000,0.91949,0.92077,0.91942,0.92062,572.86
18.04.2021 23:00:00.000,0.92062,0.92083,0.92027,0.92055,1097.29
19.04.2021 00:00:00.000,0.92056,0.92079,0.91989,0.92064,2306.6001
19.04.2021 01:00:00.000,0.92064,0.92147,0.92046,0.92146,2539.79
19.04.2021 02:00:00.000,0.92145,0.92148,0.92066,0.92081,1623.2
19.04.2021 03:00:00.000,0.92082,0.92109,0.92073,0.92079,771.53
19.04.2021 04:00:00.000,0.92078,0.92090,0.92050,0.92083,1025.63
19.04.2021 05:00:00.000,0.92082,0.92093,0.92010,0.92023,1292.1801
19.04.2021 06:00:00.000,0.92024,0.92059,0.91956,0.91974,2531.04
19.04.2021 07:00:00.000,0.91973,0.92027,0.91647,0.91648,5437.5298
19.04.2021 08:00:00.000,0.91651,0.91708,0.91455,0.91456,4888
19.04.2021 09:00:00.000,0.91456,0.91504,0.91327,0.91349,3070.6001
19.04.2021 10:00:00.000,0.91349,0.91452,0.91298,0.91322,3360.51
19.04.2021 11:00:00.000,0.91323,0.91414,0.91283,0.91376,3485.27
19.04.2021 12:00:00.000,0.91375,0.91433,0.91314,0.91327,3970.0801
19.04.2021 13:00:00.000,0.91327,0.91568,0.91314,0.91502,5064.8599
19.04.2021 14:00:00.000,0.91503,0.91609,0.91435,0.91520,6107.8101
19.04.2021 15:00:00.000,0.91519,0.91557,0.91482,0.91557,3388.03
19.04.2021 16:00:00.000,0.91556,0.91567,0.91501,0.91504,2591.76
19.04.2021 17:00:00.000,0.91503,0.91527,0.91479,0.91497,1684.86
19.04.2021 18:00:00.000,0.91498,0.91516,0.91448,0.91450,1529.4301
19.04.2021 19:00:00.000,0.91453,0.91542,0.91448,0.91525,1500.29
19.04.2021 20:00:00.000,0.91524,0.91555,0.91479,0.91479,783.24
19.04.2021 21:00:00.000,0.91479,0.91503,0.91416,0.91485,782.37
19.04.2021 22:00:00.000,0.91485,0.91520,0.91473,0.91499,1260.87
19.04.2021 23:00:00.000,0.91499,0.91508,0.91473,0.91489,4304.3501
20.04.2021 00:00:00.000,0.91490,0.91542,0.91477,0.91542,2018.74
20.04.2021 01:00:00.000,0.91541,0.91561,0.91506,0.91533,2203.4199
20.04.2021 02:00:00.000,0.91532,0.91541,0.91437,0.91440,1600.4301
20.04.2021 03:00:00.000,0.91442,0.91459,0.91347,0.91396,2015.4301
20.04.2021 04:00:00.000,0.91396,0.91436,0.91390,0.91400,1964.84
20.04.2021 05:00:00.000,0.91400,0.91475,0.91398,0.91458,2142.4299
20.04.2021 06:00:00.000,0.91456,0.91558,0.91427,0.91444,4428.1602
20.04.2021 07:00:00.000,0.91443,0.91509,0.91349,0.91448,5176.6802
20.04.2021 08:00:00.000,0.91449,0.91523,0.91407,0.91462,3683.1201
20.04.2021 09:00:00.000,0.91460,0.91651,0.91457,0.91605,3802.5701
20.04.2021 10:00:00.000,0.91605,0.91615,0.91474,0.91529,2310.9399
20.04.2021 11:00:00.000,0.91530,0.91534,0.91443,0.91483,2262.28
20.04.2021 12:00:00.000,0.91483,0.91693,0.91483,0.91634,4696.27
20.04.2021 13:00:00.000,0.91636,0.91653,0.91474,0.91500,5258.79
20.04.2021 14:00:00.000,0.91501,0.91536,0.91375,0.91387,6149.2598
20.04.2021 15:00:00.000,0.91387,0.91525,0.91383,0.91454,4047.78
20.04.2021 16:00:00.000,0.91453,0.91629,0.91450,0.91602,2866.03
20.04.2021 17:00:00.000,0.91603,0.91676,0.91565,0.91618,1870.35
20.04.2021 18:00:00.000,0.91620,0.91667,0.91594,0.91615,1276.79
20.04.2021 19:00:00.000,0.91614,0.91624,0.91556,0.91595,1767.21
20.04.2021 20:00:00.000,0.91594,0.91628,0.91552,0.91561,1034.47
20.04.2021 21:00:00.000,0.91556,0.91607,0.91494,0.91514,937.49
20.04.2021 22:00:00.000,0.91516,0.91589,0.91516,0.91589,332.86
20.04.2021 23:00:00.000,0.91587,0.91605,0.91585,0.91604,862.19
21.04.2021 00:00:00.000,0.91603,0.91615,0.91531,0.91608,1989.59
21.04.2021 01:00:00.000,0.91607,0.91616,0.91530,0.91565,1558.76
21.04.2021 02:00:00.000,0.91565,0.91606,0.91555,0.91581,1680.78
21.04.2021 03:00:00.000,0.91583,0.91609,0.91579,0.91601,884.37
21.04.2021 04:00:00.000,0.91601,0.91668,0.91600,0.91642,919.1
21.04.2021 05:00:00.000,0.91642,0.91666,0.91570,0.91585,1173.42
21.04.2021 06:00:00.000,0.91583,0.91616,0.91534,0.91603,2903.1399
21.04.2021 07:00:00.000,0.91601,0.91814,0.91568,0.91764,4593.2202
21.04.2021 08:00:00.000,0.91764,0.91850,0.91684,0.91836,3702.1799
21.04.2021 09:00:00.000,0.91834,0.91834,0.91666,0.91692,3715.6499
21.04.2021 10:00:00.000,0.91693,0.91853,0.91692,0.91799,4138.8501
21.04.2021 11:00:00.000,0.91799,0.91857,0.91769,0.91832,2551.9199
21.04.2021 12:00:00.000,0.91832,0.91851,0.91767,0.91780,3363.9299
21.04.2021 13:00:00.000,0.91781,0.91926,0.91775,0.91870,4843.0498
21.04.2021 14:00:00.000,0.91871,0.91955,0.91722,0.91734,7546.1602
21.04.2021 15:00:00.000,0.91737,0.91757,0.91631,0.91666,3248.1201
21.04.2021 16:00:00.000,0.91669,0.91721,0.91658,0.91709,2995.3999
21.04.2021 17:00:00.000,0.91709,0.91740,0.91679,0.91722,2864.96
21.04.2021 18:00:00.000,0.91722,0.91750,0.91700,0.91711,1985.54
21.04.2021 19:00:00.000,0.91712,0.91732,0.91671,0.91681,1642.33
21.04.2021 20:00:00.000,0.91683,0.91716,0.91639,0.91639,715.97
21.04.2021 21:00:00.000,0.91643,0.91699,0.91619,0.91651,696.9
21.04.2021 22:00:00.000,0.91651,0.91695,0.91642,0.91675,282.91
21.04.2021 23:00:00.000,0.91675,0.91681,0.91657,0.91671,466.33
22.04.2021 00:00:00.000,0.91671,0.91698,0.91635,0.91656,1356.05
22.04.2021 01:00:00.000,0.91655,0.91656,0.91590,0.91607,1811.92
22.04.2021 02:00:00.000,0.91607,0.91615,0.91573,0.91583,1156.83
22.04.2021 03:00:00.000,0.91586,0.91636,0.91574,0.91633,1080.91
22.04.2021 04:00:00.000,0.91629,0.91651,0.91618,0.91648,1159.22
22.04.2021 05:00:00.000,0.91648,0.91664,0.91629,0.91652,1646.61
22.04.2021 06:00:00.000,0.91648,0.91652,0.91448,0.91489,2344.03
22.04.2021 07:00:00.000,0.91487,0.91535,0.91451,0.91488,3422.79
22.04.2021 08:00:00.000,0.91489,0.91628,0.91472,0.91608,3175.0601
22.04.2021 09:00:00.000,0.91606,0.91684,0.91580,0.91596,2843.71
22.04.2021 10:00:00.000,0.91597,0.91597,0.91433,0.91526,3369.3201
22.04.2021 11:00:00.000,0.91526,0.91628,0.91477,0.91596,3022.4399
22.04.2021 12:00:00.000,0.91597,0.91641,0.91549,0.91565,5103.3398
22.04.2021 13:00:00.000,0.91560,0.91840,0.91508,0.91732,9083.46
22.04.2021 14:00:00.000,0.91732,0.91880,0.91693,0.91707,6954.3101
22.04.2021 15:00:00.000,0.91709,0.91850,0.91707,0.91823,3994.73
22.04.2021 16:00:00.000,0.91825,0.91880,0.91825,0.91877,2674.8101
22.04.2021 17:00:00.000,0.91877,0.91909,0.91777,0.91784,4142.5698
22.04.2021 18:00:00.000,0.91783,0.91869,0.91777,0.91820,2703.55
