Date,Open,High,Low,Close,Volume
06/11/2014,123.9375,124.25,123.7969,124.0781,1045977
06/10/2014,124.25,124.3594,123.9219,124.0156,981200
06/09/2014,124.3594,124.3906,124.0625,124.1875,770956
06/06/2014,124.5156,124.9688,124.2969,124.3594,1486178
06/05/2014,124.3438,124.7031,124.0312,124.5156,1441014
06/04/2014,124.3594,124.625,124.1875,124.3125,1355451
06/03/2014,124.9375,125,124.3438,124.4219,1252386
06/02/2014,125.3281,125.3906,124.7969,124.8906,1218850
05/30/2014,125.4688,125.5469,125.2188,125.5156,1209705
05/29/2014,126.4219,126.7656,126.2188,126.4062,1624436
05/28/2014,125.8906,126.5312,125.875,126.4844,2801252
05/27/2014,125.75,125.9219,125.6094,125.9062,1801550
05/26/2014,125.7969,125.7969,125.7969,125.7969,0
05/23/2014,125.6562,125.9062,125.6094,125.7969,765512
05/22/2014,125.7969,125.875,125.5625,125.625,1028859
05/21/2014,125.9531,126.1094,125.5625,125.8125,1251425
05/20/2014,125.6719,126.0469,125.625,126,1123486
05/19/2014,125.6875,126.0469,125.6562,125.7344,929415
05/16/2014,125.9375,126.0156,125.6875,125.7812,1045684
05/15/2014,125.5781,126.1562,125.3906,125.9219,1980613
05/14/2014,125.0938,125.8125,125.0312,125.625,1541814
05/13/2014,124.7188,125.1406,124.6406,125.0625,1015157
05/12/2014,124.9688,124.9844,124.6719,124.7344,693193
05/09/2014,125,125.1875,124.9062,125,912876
05/08/2014,124.8438,125.1562,124.7656,125.1094,1378996
05/07/2014,124.6562,124.9688,124.4688,124.875,1440652
05/06/2014,124.5781,124.7031,124.4375,124.6406,939007
05/05/2014,124.7031,124.8906,124.5156,124.5781,682952
05/02/2014,124.5781,124.9062,123.7812,124.6562,2369627
05/01/2014,124.4219,124.7969,124.2969,124.6562,906158
04/30/2014,124.0156,124.4531,123.8125,124.4219,1491657
04/29/2014,123.9062,124.0625,123.6875,124,1088381
04/28/2014,124.0625,124.2031,123.75,124.0938,1080072
04/25/2014,123.9688,124.3125,123.9219,124.0625,1015879
04/24/2014,123.8281,124.0625,123.5938,123.9219,1334173
04/23/2014,123.75,124.0938,123.6562,123.9531,984435
04/22/2014,123.75,123.8906,123.5,123.625,875153
04/21/2014,123.7188,123.9531,123.5781,123.7344,415132
04/18/2014,123.75,123.75,123.75,123.75,0
04/17/2014,124.4062,124.5469,123.625,123.75,1095096
04/16/2014,124.5625,124.6406,124.2969,124.375,1026410
04/15/2014,124.5,124.875,124.3594,124.5938,1345342
04/14/2014,124.8281,125.0781,124.4531,124.5938,924963
04/11/2014,124.5156,124.9375,124.4688,124.7969,1171110
04/10/2014,124.1875,124.9062,124.1406,124.7031,1710946
04/09/2014,124.0156,124.2656,123.7188,124.2031,1211583
04/08/2014,123.8125,124.0938,123.7031,124.0469,1175682
04/07/2014,123.6562,124,123.625,123.8594,1062260
04/04/2014,122.8906,123.7188,122.7031,123.6719,1955094
04/03/2014,122.8906,123.0938,122.8281,122.9688,1044349
04/02/2014,123.4062,123.4219,122.8438,122.9219,1253994
04/01/2014,123.5312,123.5469,123.2812,123.3594,901889
03/31/2014,123.4531,123.5469,123.125,123.5,1264412
03/28/2014,123.75,123.9062,123.4062,123.5625,940735
03/27/2014,123.8125,123.9531,123.5781,123.8594,1405064
03/26/2014,123.3438,123.9219,123.2812,123.7969,1158310
03/25/2014,123.4219,123.5625,123.2656,123.4688,988456
03/24/2014,123.4688,123.5312,123.0781,123.4219,1157196
03/21/2014,123.4531,123.5469,123.2656,123.4531,952048
03/20/2014,123.4219,123.5938,123.2344,123.3906,1483091
03/19/2014,124.5,124.5938,123.1562,123.4688,1655151
03/18/2014,124.3281,124.5938,124.25,124.4688,927346
03/17/2014,124.5938,124.7188,124.2656,124.2812,892379
03/14/2014,124.6094,125,124.4688,124.6562,1612610
03/13/2014,124.0156,124.7344,123.7812,124.625,1964357
03/12/2014,123.75,124.2188,123.6875,124.0625,1235981
03/11/2014,123.625,123.8438,123.5,123.7812,1010035
03/10/2014,123.5938,123.75,123.4219,123.6562,857476
03/07/2014,124.0625,124.1562,123.3281,123.5469,1611188
03/06/2014,124.2656,124.3281,123.8906,124.0156,1053479
03/05/2014,124.2812,124.4531,124.0625,124.3281,1218741
03/04/2014,125,125.0156,124.2188,124.3281,1253720
03/03/2014,125.1875,125.2031,124.6719,124.9844,1503196
02/28/2014,124.75,124.8594,124.1875,124.5312,1425240
02/27/2014,126.1406,126.4062,126.0469,126.3125,1341444
02/26/2014,125.7969,126.1719,125.6875,126.0781,2224514
02/25/2014,125.5312,125.875,125.4844,125.8281,1692056
02/24/2014,125.6094,125.75,125.3594,125.4688,1127045
02/21/2014,125.5312,125.6406,125.2656,125.6094,949393
02/20/2014,125.6719,126.0625,125.3594,125.5,1415361
02/19/2014,125.9375,126.2812,125.6562,125.7344,1023020
02/18/2014,125.9688,126.0625,125.5156,125.9531,940404
02/17/2014,125.6406,125.6406,125.6406,125.6406,0
02/14/2014,125.7656,125.9688,125.5625,125.6406,818567
02/13/2014,125.2656,125.8125,125.25,125.75,1142926
02/12/2014,125.5156,125.6094,125.0938,125.25,997651
02/11/2014,125.9531,125.9844,125.4531,125.5781,1033455
02/10/2014,125.8594,126.1094,125.8281,125.9375,640089
02/07/2014,125.6094,126.2812,125.2188,125.9688,1708535
02/06/2014,125.8438,125.9531,125.5312,125.6094,1064868
02/05/2014,126.0938,126.4688,125.7969,125.875,1443293
02/04/2014,126.4062,126.4688,126.0625,126.1406,1192362
02/03/2014,125.7812,126.5,125.6094,126.4219,1570728
01/31/2014,125.4375,125.9062,125.3438,125.75,1353307
